date,sales
2025-02-01,791000
2025-02-02,886000
2025-02-03,621600
2025-02-04,602400
2025-02-05,1016300
2025-02-06,902600
2025-02-07,1110300
2025-02-08,828200
2025-02-09,774000
2025-02-10,1038700
2025-02-11,1184600
2025-02-12,1111800
2025-02-13,978100
2025-02-14,877500
2025-02-15,860300
2025-02-16,1173600
2025-02-17,716200
2025-02-18,1181400
2025-02-19,1007500
2025-02-20,1154100
2025-02-21,662300
2025-02-22,677000
2025-02-23,1165900
2025-02-24,1005100
2025-02-25,724100
2025-02-26,871100
2025-02-27,682100
2025-02-28,1040300
